benchmark comment;database;module;interface;trial no.;SQL statement;bulk length;bulk size;batch size;action;start day time;end day time;duration
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:44:50.299121000;2019.11.10 12:44:54.313981000;14860000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:44:54.314903000;2019.11.10 12:45:11.033958000;719055000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;;1024;100000;256;trial;2019.11.10 12:44:50.284388000;2019.11.10 12:45:12.033840000;749452000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:45:12.053636000;2019.11.10 12:45:15.912390000;858754000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:45:15.912638000;2019.11.10 12:45:32.164381000;251743000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;;1024;100000;256;trial;2019.11.10 12:45:12.034046000;2019.11.10 12:45:33.232000000;197954000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:45:33.243945000;2019.11.10 12:45:37.105838000;861893000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:45:37.106053000;2019.11.10 12:45:53.596273000;490220000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;;1024;100000;256;trial;2019.11.10 12:45:33.232167000;2019.11.10 12:45:54.642429000;410262000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:45:54.654149000;2019.11.10 12:45:58.336677000;682528000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:45:58.336903000;2019.11.10 12:46:14.636207000;299304000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;;1024;100000;256;trial;2019.11.10 12:45:54.642678000;2019.11.10 12:46:15.624988000;982310000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:46:15.637235000;2019.11.10 12:46:19.516252000;879017000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:46:19.516539000;2019.11.10 12:46:35.879477000;362938000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;;1024;100000;256;trial;2019.11.10 12:46:15.625266000;2019.11.10 12:46:36.895741000;270475000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:46:36.907223000;2019.11.10 12:46:40.701484000;794261000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:46:40.701618000;2019.11.10 12:46:56.755591000;53973000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;;1024;100000;256;trial;2019.11.10 12:46:36.895874000;2019.11.10 12:46:57.781450000;885576000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 12:46:57.796199000;2019.11.10 12:47:01.581800000;785601000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 12:47:01.582013000;2019.11.10 12:47:18.777295000;195282000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;;1024;100000;256;trial;2019.11.10 12:46:57.781583000;2019.11.10 12:47:19.783999000;2416000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;0;;1024;100000;256;benchmark;2019.11.10 12:43:37.261028000;2019.11.10 12:47:19.786233000;4650000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;1;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:04:29.164939000;2019.11.10 16:04:37.815213000;650274000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;1;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:04:37.818241000;2019.11.10 16:05:03.951592000;133351000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;1;;1024;100000;256;trial;2019.11.10 16:04:28.672233000;2019.11.10 16:05:05.579238000;907005000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;2;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:05:05.615371000;2019.11.10 16:05:11.517770000;902399000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;2;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:05:11.518104000;2019.11.10 16:05:35.003256000;485152000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;2;;1024;100000;256;trial;2019.11.10 16:05:05.579462000;2019.11.10 16:05:36.036967000;457505000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;3;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:05:36.049684000;2019.11.10 16:05:39.870083000;820399000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;3;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:05:39.870294000;2019.11.10 16:05:58.633459000;763165000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;3;;1024;100000;256;trial;2019.11.10 16:05:36.037237000;2019.11.10 16:05:59.563126000;525889000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:05:59.574749000;2019.11.10 16:06:03.279256000;704507000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:06:03.279853000;2019.11.10 16:06:22.873522000;593669000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;4;;1024;100000;256;trial;2019.11.10 16:05:59.563378000;2019.11.10 16:06:24.082350000;518972000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:06:24.099286000;2019.11.10 16:06:27.991918000;892632000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:06:27.992248000;2019.11.10 16:06:48.729625000;737377000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;5;;1024;100000;256;trial;2019.11.10 16:06:24.082564000;2019.11.10 16:06:49.739637000;657073000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:06:49.750987000;2019.11.10 16:06:53.688888000;937901000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:06:53.689063000;2019.11.10 16:07:12.979273000;290210000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;6;;1024;100000;256;trial;2019.11.10 16:06:49.739859000;2019.11.10 16:07:14.019658000;279799000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:07:14.030854000;2019.11.10 16:07:19.281697000;250843000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:07:19.281955000;2019.11.10 16:07:41.210305000;928350000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;7;;1024;100000;256;trial;2019.11.10 16:07:14.019914000;2019.11.10 16:07:42.335795000;315881000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:07:42.347703000;2019.11.10 16:07:46.906618000;558915000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:07:46.906890000;2019.11.10 16:08:08.621930000;715040000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;8;;1024;100000;256;trial;2019.11.10 16:07:42.336594000;2019.11.10 16:08:09.804936000;468342000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:08:09.817852000;2019.11.10 16:08:14.045629000;227777000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:08:14.045769000;2019.11.10 16:08:39.499804000;454035000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;9;;1024;100000;256;trial;2019.11.10 16:08:09.805193000;2019.11.10 16:08:40.647127000;841934000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);1024;100000;256;query;2019.11.10 16:08:40.661389000;2019.11.10 16:08:44.649908000;988519000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;SELECT data FROM ora_bench_table WHERE key = :key;1024;100000;256;query;2019.11.10 16:08:44.650106000;2019.11.10 16:09:07.033567000;383461000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;10;;1024;100000;256;trial;2019.11.10 16:08:40.647282000;2019.11.10 16:09:08.115156000;467874000
Basic Java tests;db_19_3_ee;OraBench.java;Oracle JDBC;0;;1024;100000;256;benchmark;2019.11.10 16:04:23.221587000;2019.11.10 16:09:08.117399000;470117000
